Abaeis nicippe,Sleepy orange butterfly
Ligia pallasii,Rock louse
Ligusticum scoticum,Scotch lovage
Ligustrum japonicum,Japanese privet
Ligustrum obtusifolium,Border privet
Ligustrum ovalifolium,California privet
Ligustrum vulgare,Common privet
Lilaeopsis carolinensis,Carolina grasswort
Lilaeopsis novaezelandiae,Micro sword
Lilium canadense,Canada lily
Lilium davidii,David's lily
Lilium henryi,Henry's lily
Lilium longiflorum,Trumpet lily
Lilium michiganense,Michigan lily
Lilium regale,Regal lily
Lilium superbum,Turk's cap lily
Lilium tsingtauense,Twilight lily
Lima lima,Flame scallop
Limacia clavigera,Orange-clubbed sea slug
Limaformosa capensis,Cape file snake
Limanda limanda,Common dab
Limaria fragilis,File shell
Limaria hians,Gaping file shell
Limax flavus,Spotted garden slug
Limecola balthica,Baltic tellin
Limenitis archippus,Viceroy butterfly
Limenitis arthemis,White admiral
Limenitis camilla,White admiral
Limenitis lorquini,Lorquin's admiral
Limenitis reducta,Southern white admiral
Limenitis weidemeyerii,Weidemeyer's admiral
Limnanthes alba,White meadowfoam
Limnanthes douglasii,Douglas' meadowfoam
Limnochromis auritus,Spangled cichlid
Limnodromus griseus,Short-billed dowitcher
Limnodromus scolopaceus,Long-billed dowitcher
Limnodynastes dumerilii,Eastern banjo frog
Limnodynastes fletcheri,Barking marsh frog
Limnodynastes interioris,Giant banjo frog
Limnodynastes peronii,Striped marsh frog
Limnodynastes salmini,Salmon-striped frog
Limnodynastes tasmaniensis,Spotted grass frog
Limnodynastes terraereginae,Northern banjo frog
Limnomys bryophilus,Gray-bellied mountain rat
Limnomys sibuanus,White-bellied moss mouse
Limnonectes bannaensis,Large-headed frog
Limnonectes fragilis,Fragile wart frog
Limnonectes fujianensis,Fujian large-headed frog
Limnonectes kuhlii,Kuhl's Creek frog
Limnonectes limborgi,Limborg's frog
Limnonectes modestus,Moluccas wart frog
Limnoperna fortunei,Golden mussel
Limnoporus canaliculatus,Water strider
Limnoporus dissortis,Kayak pond skater
Limnoporus esakii,Water strider
Limnoporus notabilis,Pond skater
Limnoporus rufoscutellatus,Pond skater
Limnothlypis swainsonii,Swainson's warbler
Limnotrochus thomsoni,Freshwater snail
Limosa fedoa,Marbled godwit
Limosa haemastica,Hudsonian godwit
Limosa lapponica,Bar-tailed godwit
Limosa limosa,Black-tailed godwit
Limulus polyphemus,Atlantic horseshoe crab
Linanthus dianthiflorus,Ground pink
Linckia columbiae,Fragile sea star
Linckia guildingii,Common comet star
Linckia laevigata,Blue sea star
Linckia multifora,Pink sea star
Linepithema humile,Argentine ant
Lineus longissimus,Bootlace worm
Lineus sanguineus,Ribbon worm
Lingula reevii,Inarticulated brachiopod
Linuche unguiculata,Thimble jellyfish
Linum arboreum,Tree flax
Linum perenne,Perennial flax
Linyphia triangularis,Money spider
Liobagrus andersoni,Korean torrent catfish
Liobagrus kingi,King's bullhead
Liobagrus mediadiposalis,South torrent catfish
Liobagrus obesus,Bull-head torrent catfish
Liocarcinus depurator,Harbour crab
Liocarcinus holsatus,Flying crab
Liocarcinus marmoreus,Marbled swimming crab
Liocarcinus vernalis,Grey swimming crab
Liocheles australasiae,Dwarf wood scorpion
Liocheles waigiensis,Australian rainforest scorpion
Liodytes pygaea,Black swamp snake
Lionycteris spurrelli,Chestnut long-tongued bat
Liopholis whitii,White's skink
Liotyphlops albirostris,Whitenose blind snake
Liparis tunicatus,Kelp snailfish
Liphyra brassolis,Moth butterfly
Lipolagus ochotensis,Eared blacksmelt
Lipomyces starkeyi,Oleaginous yeast
Lipotes vexillifer,Yangtze river dolphin
Liquidambar formosana,Formosan gum
Liquidambar orientalis,Oriental sweet gum
Liquidambar styraciflua,Sweetgum tree
Liriodendron chinense,Chinese tulip tree
Liriomyza bryoniae,Tomato leafminer
Liriomyza huidobrensis,Pea leafminer
Liriomyza sativae,Vegetable leafminer
Liriomyza trifolii,American serpentine leafminer
Liriope muscari,Big blue lilyturf
Lissomyema mellita,Sausage worm
Lissonycteris angolensis,Angolan fruit bat
Lissotriton vulgaris,Smooth newt
Lithobates catesbeiana,American bullfrog
Lithobates pipiens,Northern leopard frog
Lithodes aequispinus,Golden king crab
Lithodes longispina,King crab
Lithodes maja,Norway stone crab
Lithodes nintokuae,King crab
Lithodes santolla,Southern king crab
Lithodesmium undulatum,Marine centric diatom
Lithodytes lineatus,Gold-striped frog
Lithognathus mormyrus,Striped seabream
Lithospermum erythrorhizon,Purple gromwell
Litomosoides sigmodontis,Filarial nematode worm
Litoria caerulea,Green tree frog
Litoria chloris,Blue-thighed frog
Litoria dahlii,Dahl's aquatic frog
Litoria ewingii,Brown tree frog
Litoria genimaculata,Green-eyed tree frog
Litoria gilleni,Centralian tree frog
Litoria infrafrenata,Giant tree frog
Litoria raniformis,Southern bell frog
Litoria rothii,Roth's tree frog
Litoria rubella,Desert tree frog
Litoria splendida,Magnificent tree frog
Litoria xanthomera,Orange-thighed frog
Littorina littorea,Common periwinkle
Littorina obtusata,Flat periwinkle
Littorina plena,Black periwinkle
Littorina scutulata,Checkered periwinkle
Liua shihi,Wushan salamander
Livistona chinensis,Chinese fan palm
Liza saliens,Leaping mullet
Loa loa,Eye worm
Lobactis scutaria,Mushroom coral
Lobelia cardinalis,Cardinal flower
Lobelia erinus,Edging lobelia
Lobelia puberula,Downy lobelia
Lobelia siphilitica,Great blue lobelia
Lobocla bifasciatus,Skipper butterfly
Lobodon carcinophaga,Crabeater seal
Lobophyllia hemprichii,Lobed brain coral
Lobophytum crassum,Soft coral
Loboptera decipiens,Field cockroach
Lobularia maritima,Sweet alyssum
Lochmaea capreae,Leaf beetle
Locusta migratoria,Migratory locust
Locustella pryeri,Marsh grassbird
Loeseliastrum schottii,Schott's calico
Loligo forbesii,Veined squid
Loligo vulgaris,Common European squid
Lolium multiflorum,Italian ryegrass
Lolium perenne,Perennial ryegrass
Lolium rigidum,Annual ryegrass
Lolium temulentum,Darnel ryegrass
Lomatium dasycarpum,Woollyfruit desertparsley
Lonchitis hirsuta,Tomato fern
Lonchophylla chocoana,Choco nectar bat
Lonchophylla handleyi,Handley's nectar bat
Lonchophylla mordax,Godman's nectar bat
Lonchophylla robusta,Orange nectar bat
Lonchorhina aurita,Tomes's sword-nosed bat
Lonicera involucrata,Black twinberry
Lonicera japonica,Japanese honeysuckle
Lonicera sempervirens,Coral honeysuckle
Lonomia achelous,Giant silkworm moth
Lontra canadensis,River otter
Lontra felina,Sea cat
Lontra longicaudis,Neotropical otter
Lopha cristagalli,Coxcomb oyster
Lophiodes caulinaris,Spottedtail angler
Lophiomus setigerus,Blackmouth angler
Lophiotoma acuta,Marbled turris
Lophiotoma albina,Sea snail
Lophiotoma brevicaudata,Sea snail
Lophiotoma cerithiformis,Sea snail
Lophiotoma olangoensis,Sea snail
Lophius americanus,American angler
Lophius piscatorius,Allmouth goosefish
Lophocebus aterrimus,Black crested mangabey
Lophodytes cucullatus,Hooded merganser
Lopholaimus antarcticus,Topknot pigeon
Lopholithodes foraminatus,Brown box crab
Lophonetta specularioides,Crested duck
Lophopanopeus bellus,Blackclaw crestleg crab
Lophophanes cristatus,Crested tit
Lophophanes dichrous,Gray-crested tit
Lophophorus impejanus,Himalayan monal pheasant
Lophophorus lhuysii,Chinese monal
Lophophorus sclateri,Sclater's monal
Lophosaurus dilophus,Crowned forest dragon
Lophostoma brasiliense,Pygmy round-eared bat
Lophostoma evotis,Davis's round-eared bat
Lophostoma schulzi,Schulz's round-eared bat
Lophostoma silvicolum,White-throated round-eared bat
Lophostrix cristata,Crested owl
Lophozonia cunninghamii,Myrtle beech
Lophura bulweri,Bulwer's pheasant
Lophura diardi,Siamese fireback pheasant
Lophura edwardsi,Edwards's pheasant
Lophura erythrophthalma,Crestless fireback pheasant
Lophura hatinhensis,Edwards's pheasant
Lophura leucomelanos,Kalij pheasant
Lophura nycthemera,Silver pheasant
Lophura swinhoii,Swinhoe's pheasant
Lophuromys flavopunctatus,Yellow-spotted brush-furred rat
Lophuromys sikapusi,Rusty-bellied brush-furred rat
Lophyra catena,Tiger beetle
Lordsdale virus,Human enteric calicivirus
Loricera pilicornis,Ground beetle
Loriculus galgulus,Blue-crowned hanging-parrot
Loris tardigradus,Slender loris
Lorius albidinucha,White-naped lory
Lorius garrulus,Chattering lory
Lottia gigantea,Giant owl limpet
Lotus corniculatus,Bird's-foot trefoil
Lotus tetragonolobus,Winged pea
Lovettia sealii,Tasmanian whitebait
Loxia curvirostra,Red crossbill
Loxia leucoptera,White-winged crossbill
Loxigilla noctis,Lesser Antillean bullfinch
Loxocemus bicolor,Mexican burrowing python
Loxocera albisata,Rust fly
Loxocorone allax,Goblet worm
Loxodonta africana,African elephant
Loxodonta cyclotis,African forest elephant
Loxopholis guianense,Spectacled lizard
Loxopholis osvaldoi,Spectacled lizard
Loxopholis percarinatum,Muller's tegu
Loxosceles aff.,Recluse spider
Loxosceles amazonica,Recluse spider
Loxosceles apachea,Apache recluse spider
Loxosceles arizonica,Arizona brown spider
Loxosceles cf.,Recluse spider
Loxosceles deserta,Desert recluse spider
Loxosceles hirsuta,Recluse spider
Loxosceles intermedia,Brown spider
Loxosceles reclusa,Brown recluse spider
Loxosceles rufescens,Mediterranean recluse spider
Loxosceles sabina,Tucson recluse spider
Loxosceles similis,Brazilian brown spider
Loxosceles sp.,Recluse spider
Loxosceles spadicea,Recluse spider
Loxosceles spinulosa,Recluse spider
Loxosceles variegata,Recluse spider
Loxostege sticticalis,Beet webworm moth
Lucanus cervus,Stag beetle
Lucanus formosanus,Stag beetle
Lucasium damaeum,Beaded gecko
Lucihormetica subcincta,Glow spot roach
Lucilia ampullacea,Green bottle fly
Lucilia caesar,Green bottle fly
Lucilia cuprina,Green bottle fly
Lucilia eximia,Green bottle fly
Lucilia illustris,Green bottle fly
Lucilia papuensis,Green bottle fly
Lucilia porphyrina,Green bottle fly
Lucilia sericata,Green bottle fly
Luciola cruciata,Japanese firefly
Luciola mingrelica,Southern Russian firefly
Ludisia discolor,Black jewel orchid
Ludwigia peploides,Floating primrose-willow
Luetkenotyphlus brasiliensis,Sao Paulo caecilian
Luffa acutangula,Ridged gourd
Luffa aegyptiaca,Sponge gourd
Lumbricus rubellus,Humus earthworm
Lumbricus terrestris,Common earthworm
Lunaria annua,Annual honesty
Lunaria rediviva,Perennial honesty
Lupinus albifrons,Silver lupine
Lupinus albus,White lupine
Lupinus andersonii,Anderson's lupine
Lupinus angustifolius,Narrow-leaved blue lupine
Lupinus arboreus,Tree lupine
Lupinus arcticus,Arctic lupine
Lupinus argenteus,Silvery lupine
Lupinus grayi,Gray's lupine
Lupinus hispanicus,Spanish lupine
Lupinus latifolius,Broad-leaved lupine
Lupinus luteus,European yellow lupine
Lupinus micranthus,Small-flowered lupine
Lupinus microcarpus,Whitewhorl lupine
Lupinus microcarpus,Chick lupine
Lupinus mutabilis,Pearl lupine
Lupinus nanus,Sky lupine
Lupinus nootkatensis,Nootka lupine
Lupinus perennis,Sundial lupine
Lupinus pilosus,Mountain blue lupine
Lupinus polyphyllus,Large-leaved lupine
Lupinus rivularis,Riverbank lupine
Lupinus sericeus,Silky lupine
Lupinus texensis,Texas bluebonnet
Luronium natans,Floating water plantain
Lutjanus argentimaculatus,Mangrove red snapper
Lutjanus bengalensis,Bengal snapper
Lutjanus campechanus,Northern red snapper
Lutjanus decussatus,Checkered snapper
Lutjanus erythropterus,Crimson snapper
Lutjanus guttatus,Spotted rose snapper
Lutjanus johnii,John's snapper
Lutjanus kasmira,Common bluestripe snapper
Lutjanus malabaricus,Malabar blood snapper
Lutjanus peru,Pacific red snapper
Lutjanus rivulatus,Blubberlip snapper
Lutjanus russellii,Russell's snapper
Lutjanus sebae,Emperor red snapper
Lutjanus synagris,Lane snapper
Lutra lutra,European river otter
Lutreolina crassicaudata,Lutrine opossum
Lutzomyia longipalpis,Sand fly
Luzula campestris,Field wood-rush
Luzula multiflora,Heath woodrush
Lycaena alciphron,Purple-shot copper
Lycaena dione,Gray copper
Lycaena dispar,Large copper
Lycaena editha,Edith's copper
Lycaena helle,Violet copper
Lycaena helloides,Purplish copper
Lycaena phlaeas,American copper
Lycaena rubidus,Ruddy copper
Lycaena xanthoides,Great copper
Lycalopex culpaeus,Culpeo fox
Lycalopex griseus,Argentine gray fox
Lycalopex gymnocercus,Pampas fox
Lycalopex sechurae,Sechuran desert fox
Lycalopex vetulus,Hoary fox
Lycaon pictus,African wild dog
Lycenchelys sarsii,Sar's wolf eel
Lycengraulis grossidens,Atlantic sabretooth anchovy
Lychas mucronatus,Chinese swimming scorpion
Lychnothamnus barbatus,Green alga
Lycianthes rantonnetii,Blue potato bush
Lycium barbarum,Barbary matrimony-vine
Lycium chinense,Chinese wolfberry
Lycium ruthenicum,Black goji berry
Lycium sandwicense,Hawaii desert-thorn
Lycodes polaris,Canadian eelpout
Lycodes reticulatus,Arctic eelpout
Lycodes vahlii,Vahl's eelpout
Lycodichthys dearborni,Antarctic eelpout
Lycodon rufozonatus,Red-banded snake
Lycodon semicarinatus,Ryukyu odd-tooth snake
Lycodonomorphus inornatus,Black house snake
Lycodonomorphus whytii,Whyte's water snake
Lycodryas citrinus,Tree snake
Lycophidion capense,Cape wolf snake
Lycopodiella alopecuroides,Foxtail clubmoss
Lycopodium clavatum,Stag's-horn clubmoss
Lycopodium deuterodensum,Tree clubmoss
Lycopodium fastigiatum,Mountain clubmoss
Lycoris aurea,Golden hurricane lily
Lycoris radiata,Hurricane lily
Lycoris sanguinea,Orange spiderlily
Lycoris squamigera,Ressurection lily
Lycosa erythrognatha,Wolf spider
Lycosa singoriensis,Wolf spider
Lycosa tarantula,Tarantula wolf spider
Lygodium japonicum,Japanese climbing fern
Lygus hesperus,Western plant bug
Lygus lineolaris,Tarnished plant bug
Lymantria dispar,Gypsy moth
Lymantria xylina,Casuarma moth
Lymnaea stagnalis,Great pond snail
Lynx canadensis,Canada lynx
Lynx lynx,Eurasian lynx
Lynx pardinus,Iberian lynx
Lyonia ferruginea,Rusty staggerbush
Lyonsia hyalina,Glassy lyonsia
Lyonsia norwegica,Saltwater clam
Lyophyllum decastes,Fried chicken mushroom
Lysandra bellargus,Adonis blue
Lysandra coridon,Chalkhill blue butterfly
Lysichiton camtschatcensis,Asian skunk-cabbage
Lysidice collaris,Rock worm
Lysidice ninetta,Polychaete worm
Lysimachia nemorum,Yellow pimpernel
Lysimachia vulgaris,Yellow loosestrife
Lysinema ciliatum,Curry flower
Lysiosquillina maculata,Zebra mantis shrimp
Lysiphlebus testaceipes,Greenbugs aphid parastoid
Lysmata wurdemanni,Peppermint shrimp
Lysurus mokusin,Lantern stinkhorn
Lytechinus anamesus,White sea urchin
Lytechinus euerces,Sea urchin
Lytechinus pictus,Painted sea urchin
Lytechinus variegatus,Green sea urchin
Lytechinus williamsi,Jewel urchin
Lythrum salicaria,Purple loosestrife
Maackia amurensis,Amur maackia
Macaca arctoides,Stump-tailed macaque
Macaca assamensis,Assam macaque
Macaca brunnescens,Muna-buton macaque
Macaca cyclopis,Taiwan macaque
Macaca fascicularis,Crab-eating macaque
Macaca fuscata,Japanese macaque
Macaca hecki,Heck's macaque
Macaca leonina,Northern pig-tailed macaque
Macaca maura,Moor macaque
Macaca mulatta,Rhesus macaque
Macaca nemestrina,Pig-tailed macaque
Macaca nigra,Celebes black macaque
Macaca nigrescens,Gorontalo macaque
Macaca ochreata,Booted macaque
Macaca pagensis,Mentawai macaque
Macaca radiata,Bonnet macaque
Macaca silenus,Lion-tailed macaque
Macaca sinica,Toque macaque
Macaca speciosa,Stump-tail macaque
Macaca sylvanus,Barbary macaque
Macaca thibetana,Pere David's macaque
Macaca tonkeana,Tonkean macaque
Macadamia integrifolia,Macadamia nut
Macadamia ternifolia,Maroochy nut
Macgregoria pulchra,MacGregor's honeyeater
Machaeranthera tanacetifolia,Tanseyleaf tansyaster
Machimus arthriticus,Breck robberfly
Maclura pomifera,Osage orange
Macoma nasuta,Bent-nose clam
Maconellicoccus hirsutus,Pink hibiscus mealybug
Macracanthorhynchus hirudinaceus,Giant thorny-headed worm
Macroagelaius imthurni,Tepui Mountain grackle
Macroagelaius subalaris,Mountain grackle
Macrobdella decora,North American leech
Macrobrachium amazonicum,Freshwater shrimp
Macrobrachium asperulum,Freshwater prawn
Macrobrachium australiense,Freshwater prawn
Macrobrachium crenulatum,Freshwater prawn
Macrobrachium equidens,Rough river prawn
Macrobrachium faustinum,Freshwater prawn
Macrobrachium hancocki,Freshwater prawn
Macrobrachium lanchesteri,Freshwater prawn
Macrobrachium lar,Monkey river prawn
Macrobrachium latidactylus,Scissor river prawn
Macrobrachium malcolmsonii,Monsoon river-prawn
Macrobrachium nipponense,Oriental river shrimp
Macrobrachium olfersii,Bristled river shrimp
Macrobrachium tolmerum,Australian freshwater prawn
Macrocallista nimbosa,Sun-ray clam
Macrochelys temminckii,Alligator snapping turtle
Macrocybe gigantea,Giant mushroom
Macrocystis pyrifera,Giant kelp
Macroderma gigas,Australian ghost bat
Macrodon ancylodon,King weakfish
Macroglossum stellatarum,Hummingbird hawk-moth
Macrolepiota procera,Parasol mushroom
Macronectes giganteus,Southern giant petrel
Macronectes halli,Hall's giant petrel
Macropharyngodon geoffroy,Geoffroy's wrasse
Macrophomina phaseolina,Charcoal rot fungus
Macrophyllum macrophyllum,Long-legged bat
Macropipus tuberculatus,Swimming crab
Macropis fulvipes,Solitary bee
Macroprotodon cucullatus,False smooth snake
Macropus agilis,Agile wallaby
Macropus antilopinus,Antelopine kangaroo
Macropus eugenii,Tammar wallaby
Macropus fuliginosus,Western gray kangaroo
Macropus giganteus,Eastern gray kangaroo
Macropus irma,Western brush wallaby
Macropus parma,Parma wallaby
Macropus parryi,Whiptail wallaby
Macropus rufogriseus,Red-necked wallaby
Macropus rufus,Red kangaroo
Macropygia amboinensis,Brown cuckoo-dove
Macroregonia macrochira,Spider crab
Macrorhamphosodes uradoi,Common trumpetsnout
Macroscelides proboscideus,Short-eared elephant shrew
Macrosteles fascifrons,Aster leafhopper
Macrosteles quadrilineatus,Aster leafhopper
Macrotarsomys bastardi,Bastard big-footed mouse
Macrothele calpeiana,Spanish funnel-web spider
Macrothele raveni,Funnel-web spider
Macrothele taiwanensis,Funnel-web spider
Macrotis lagotis,Greater bilby
Macrotocinclus affinis,Midget sucker fish
Macrotus californicus,Californian leaf-nosed bat
Macrotus waterhousii,Waterhouse's leaf-nosed bat
Macrotyloma axillare,Perennial horse gram
Macrovipera lebetina,Levantine viper
Macrovipera lebetina,Blunt-nosed viper
Macrovipera lebetina,Levant blunt-nosed viper
Macrozamia communis,Burrawang palm
Macrozamia dyeri,Zamia palm
Macrurocampa marthesia,Mottled prominent moth
Macruronus magellanicus,Patagonian grenadier
Macruronus novaezelandiae,Blue hake
Mactra chinensis,Chinese surf clam
Madascincus igneocaudatus,Redtail skink
Madia elegans,Wheeler's common madia
Madia sativa,Coast tarweed
Madoqua guentheri,Guenther's dik-dik
Madoqua kirkii,Kirk's dik-dik
Madoqua saltiana,Salt's dikdik
Madracis mirabilis,Yellow pencil coral
Magicicada septendecim,Seventeen-year cicada
Magnaporthe grisea,Crabgrass-specific blast fungus
Magnaporthe oryzae,Rice blast fungus
Magnaporthe oryzae,Rice blast fungus
Magnaporthe oryzae,Rice blast fungus
Magnaporthe oryzae,Rice blast fungus
Magnaporthiopsis poae,Kentucky bluegrass fungus
Magnaporthiopsis poae,Kentucky bluegrass fungus
Magnolia acuminata,Cucumber tree
Magnolia denudata,Lily tree
Magnolia figo,Banana shrub
Magnolia grandiflora,Southern magnolia
Magnolia liliiflora,Mulan magnolia
Magnolia macrophylla,Bigleaf magnolia
Magnolia salicifolia,Anise magnolia
Magnolia soulangeana,Saucer magnolia
Magnolia stellata,Star magnolia
Magnolia virginiana,Sweetbay magnolia
Maianthemum dilatatum,False lily-of-the-valley
Maianthemum racemosum,False Solomon's-seal
Maianthemum stellatum,Little false Solomon's-seal
Maihuenia poeppigii,Hardy cactus
Maireana sedifolia,Pearl bluebush
Maja squinado,Spiny spider crab
Makaira mazara,Indo-Pacific blue marlin
Makaira nigricans,Atlantic blue marlin
Malaclemys terrapin,Diamondback terrapin
Malacoceros fuliginosus,Polychaete tubeworm
Malacomys edwardsi,Edward's swamp rat
Malacomys longipes,Big-eared swamp rat
Malacoraja senta,Smooth skate
Malacosoma americanum,Eastern tent caterpillar
Malacosoma californicum,Western tent caterpillar
Malacosoma disstria,Forest tent caterpillar
Malacosoma neustria,Lackey moth
Malacothrix typica,Long-eared mouse
Malapterurus electricus,Electric catfish
Malassezia globosa,Dandruff-associated fungus
Malassezia sympodialis,Atopic eczema-associated yeast
Malassezia sympodialis,Atopic eczema-associated yeast
Malawimonas californiana,Flagellated protozoan
Malawimonas jakobiformis,Flagellated protozoan
Malayopython reticulatus,Reticulate python
Malayopython timoriensis,Timor python
Malbranchea cinnamomea,Thermophilic fungus
Malosma laurina,Laurel sumac
Malpighia coccigera,Dwarf holly
Malpighia glabra,Barbados cherry
Malpolon monspessulanus,Montpellier snake
Malus baccata,Siberian crab apple
Malus hupehensis,Chinese crab apple
Malus micromalus,Kaido crab apple
Malus platycarpa,Bigfruit crab apple
Malus pumila,Paradise apple
Malus sp.,Crab apple
Malva neglecta,Common mallow
Malva parviflora,Little mallow
Malva pusilla,Dwarf mallow
Malvaviscus arboreus,Turk's cap
Mamestra brassicae,Cabbage moth
Mammea americana,Mammee apple
Mammut americanum,American mastodon
Mammuthus primigenius,Siberian woolly mammoth
Manacus manacus,White-bearded manakin
Manduca occulta,Occult sphinx
Manduca rustica,Rustic sphinx moth
Manduca sexta,Tobacco hawkmoth
Manilkara zapota,Sapodilla plum
Maniola jurtina,Meadow brown butterfly
Manis javanica,Malayan pangolin
Manis pentadactyla,Chinese pangolin
Manis tetradactyla,Long-tailed pangolin
Mannophryne trinitatis,Trinidad poison frog
Manoao colensoi,Silver pine
Manorina melanocephala,Noisy miner
Mantis religiosa,Praying mantis
Mantoniella squamata,Unicellular alga
Manucerthia mana,Hawaii creeper
Maratus rainbowi,Peacock spider
Mareca americana,American wigeon
Mareca falcata,Falcated duck
Mareca penelope,Eurasian wigeon
Mareca sibilatrix,Chiloe wigeon
Marenzelleria bastropi,Polychaete worm
Marenzelleria neglecta,Red-gilled mud worm
Marenzelleria viridis,Polychaete worm
Margaritifera falcata,Western pearlshell
Margaritifera margaritifera,Freshwater pearl mussel
Marisa cornuarietis,Ramshorn snail
Maritrema novaezealandense,Parasitic fluke
Marivirga tractuosa,Microscilla tractuosa
Marmosa mexicana,Mexican mouse opossum
Marmosa murina,Murine mouse opossum
Marmosa robinsoni,Robinson's mouse opossum
Marmosa rubra,Red mouse opossum
Marmota baibacina,Gray marmot
Marmota bobak,Bobak marmot
Marmota broweri,Alaska marmot
Marmota caligata,Hoary marmot
Marmota caudata,Long-tailed marmot
Marmota flaviventris,Yellow-bellied marmot
Marmota himalayana,Himalayan marmot
Marmota marmota,Alpine marmot
Marmota marmota,Alpine marmot
Marmota menzbieri,Menzbier's marmot
Marmota olympus,Olympic marmot
Marmota sibirica,Tarbagan marmot
Marmota vancouverensis,Vancouver Island marmot
Marpesia eleuchea,Antillean daggerwing
Marphysa sanguinea,Polychaete worm
Marrubium incanum,Silver horehound
Marrubium vulgare,White horehound
Marrus orthocanna,Pelagic siphonophore
Marshallia caespitosa,Barbara's buttons
Marsilea ancylopoda,Tropical water clover
Marsilea botryocarpa,Water clover
Marsilea drummondii,Clover fern
Marsilea macropoda,Big-foot water clover
Marsilea minuta,Dwarf water clover
Marsilea mutica,Water clover
Marsilea nashii,Nash's pepperwort
Marsilea polycarpa,Guayanan water clover
Marsilea quadrifolia,European water clover
Marsilea vestita,Hairy waterclover
Martes americana,American marten
Martes flavigula,Yellow-throated marten
Martes foina,Beech marten
Martes martes,European pine marten
Martes melampus,Japanese marten
Marthasterias glacialis,Spiny starfish
Martynia annua,Devil's claw
Massonia depressa,African lily
Massoutiera mzabi,Mzab gundi
Masticophis taeniatus,Desert striped whipsnake
Mastigeulota kiangsinensis,Chinese land snail
Mastigoproctus giganteus,Giant vinegaroon
Mastocarpus stellatus,Carrageen moss
Mastomys coucha,Southern multimammate mouse
Mastomys natalensis,African soft-furred rat
Mastotermes darwiniensis,Giant northern termite
Masturus lanceolatus,Sharptail mola
Matricaria chamomilla,German chamomile
Matricaria discoidea,Disc mayweed
Matteuccia struthiopteris,European ostrich fern
Matthiola incana,Common stock
Matthiola tricuspidata,Three-horned stock
Mauremys reevesii,Reeve's turtle
Maxomys bartelsii,Bartels's spiny rat
Maxomys surifer,Red spiny rat
Maxomys whiteheadi,Whitehead's spiny rat
Mayetiola destructor,Hessian fly
Mazama americana,Red brocket deer
Mazamastrongylus odocoilei,Nematode worm
Mazus pumilus,Japanese mazus
Mazus reptans,Creeping mazus
Mazus stachydifolius,Betonyleaf mazus
Mazzaella laminarioides,Red alga
Mazzaella lilacina,Red alga
Mazzaella splendens,Splendid iridescent seaweed
Mecaphesa anguliventris,Crab spider
Mecaphesa asperata,Northern crab spider
Mecardonia procumbens,Small baby jump-up
Meccus pallidipennis,Triatomine bug
Mecistocirrus digitatus,Parasitic roundworm
Medeola virginiana,Indian cucumber root
Mediaster aequalis,Vermillion sea star
Medicago sativa,Sickle medic
Medicago scutellata,Snail medic
Medicago truncatula,Barrel medic
Meesia triquetra,Meesia moss
Meesia uliginosa,Meesia moss
Megabalanus rosa,Acorn barnacle
Megabalanus volcano,Japanese megabalanine barnacle
Megaceryle alcyon,Belted kingfisher
Megaceryle torquata,Ringed kingfisher
Megachile rotundata,Alfalfa leafcutting bee
Megacopta cribraria,Bean plataspid
Megadromus speciosus,Ground beetle
Megadyptes antipodes,Yellow-eyed penguin
Megaerops niphanae,Ratanaworabhan's fruit bat
Megaerops wetmorei,White-collared fruit bat
Megalaspis cordyla,Torpedo scad
Megaleledone setebos,Giant Antarctic octopus
Megaloceros giganteus,Giant deer
Megalonyx jeffersonii,Jefferson's ground sloth
Meganyctiphanes norvegica,Northern krill
Megapodius cumingii,Philippine scrubfowl
Megapodius decollatus,New Guinea scrubfowl
Megapodius eremita,Melanesian scrubfowl
Megapodius forstenii,Forsten's scrubfowl
Megapodius freycinet,Dusky scrubfowl
Megapodius layardi,Vanuatu scrubfowl
Megapodius pritchardii,Polynesian scrubfowl
Megapodius reinwardt,Orange-footed scrubfowl
Megapodius tenimberensis,Tanimbar scrubfowl
Megaptera novaeangliae,Humpback whale
Megarcys signata,Larimide springfly
Megascolia flavifrons,Garden dagger wasp
Megascops albogularis,White-throated screech-owl
Megascops asio,Eastern screech-owl
Megascops atricapilla,Black-capped screech-owl
Megascops choliba,Tropical screech-owl
Megascops guatemalae,Guatemalan screech-owl
Megascops hoyi,Yungas screech-owl
Megascops kennicottii,Western screech-owl
Megascops roboratus,West Peruvian screech-owl
Megascops trichopsis,Whiskered screech-owl
Megascops watsonii,Tawny-bellied screech-owl
Megaselia abdita,Humpbacked fly
Megaselia scalaris,Humpbacked fly
Megasorex gigas,Mexican shrew
Megastigmus pinus,Fir seed chalcid
Megatherium americanum,Giant ground sloth
Megathura crenulata,Giant keyhole limpet
Meghimatium fruhstorferi,Land slug
Megisto cymela,Little wood satyr
Megoura viciae,Vetch aphid
Meiacanthus atrodorsalis,Forktail blenny
Meladema coriacea,Water beetle
Melaleuca viridiflora,Broad-leaved paperbark
Melampitta gigantea,Greater melampitta
Melampodium leucanthum,Black foot daisy
Melampsora lini,Rust fungus
Melampyrum lineare,Cow wheat
Melanagromyza sojae,Soyabean stem fly
Melanargia galathea,Marbled white butterfly
Melanerpes aurifrons,Golden-fronted woodpecker
Melanerpes carolinus,Red-bellied woodpecker
Melanerpes chrysogenys,Golden-cheeked woodpecker
